Name,Signature Gene,alt_name,ensmbl_id_version
CD34,LSC17,CD34,ENSG00000174059.17
LAPTM4B,LSC17,LAPTM4B,ENSG00000104341.17
ARHGAP22,LSC17,ARHGAP22,ENSG00000128805.15
LOC284422,LSC17,SMIM24,ENSG00000095932.7
KIAA0125,LSC17,FAM30B,ENSG00000277988.1
MMRN1,LSC17,MMRN1,ENSG00000138722.10
DNMT3B,LSC17,DNMT3B,ENSG00000088305.18
SOCS2,LSC17,SOCS2,ENSG00000120833.14
CDK6,LSC17,CDK6,ENSG00000105810.10
NGFRAP1,LSC17,ENSG00000238049.2,ENSG00000238049.2
CPXM1,LSC17,CPXM1,ENSG00000088882.8
ZBTB46,LSC17,ZBTB46,ENSG00000130584.12
DPYSL3,LSC17,DPYSL3,ENSG00000113657.13
NYNRIN,LSC17,NYNRIN,ENSG00000205978.6
GPR56,LSC17,ENSG00000261633.1,ENSG00000261633.1
AKR1C3,LSC17,AKR1C3,ENSG00000196139.14
EMP1,LSC17,EMP1,ENSG00000134531.10
